DIM_TIME;GEO_NAME_SHORT;DIM_SEX;RATE_PER_100_N;RATE_PER_100_NL;RATE_PER_100_NU
1990;Georgia;FEMALE;16.09882100000000;10.98661600000000;22.05030300000000
1990;Armenia;FEMALE;17.02199600000000;12.97324300000000;21.45029600000000
1990;Georgia;MALE;10.40893200000000;6.28260230000000;15.67972000000000
1990;Armenia;TOTAL;11.84670500000000;9.37738940000000;14.65225200000000
1990;Georgia;TOTAL;13.64795900000000;10.22610400000000;17.55633100000000
1990;Azerbaijan;FEMALE;17.04216900000000;13.04529500000000;21.64722800000000
1990;Azerbaijan;TOTAL;12.07186500000000;9.48311910000000;14.92887400000000
1990;Armenia;MALE;5.63419610000000;3.19434440000000;8.85244310000000
1990;Azerbaijan;MALE;5.68339450000000;3.48145100000000;8.67957700000000
1991;Azerbaijan;FEMALE;17.53696200000000;13.70252700000000;21.88696000000000
1991;Armenia;MALE;5.79119920000000;3.38401870000000;8.89057370000000
1991;Georgia;FEMALE;16.59217000000000;11.58082300000000;22.41336300000000
1991;Georgia;MALE;10.71155700000000;6.62643760000000;15.79419100000000
1991;Armenia;TOTAL;12.14054400000000;9.77938100000000;14.78581100000000
1991;Azerbaijan;TOTAL;12.40425500000000;9.93324440000000;15.15795100000000
1991;Azerbaijan;MALE;5.79923500000000;3.64264960000000;8.66840110000000
1991;Armenia;FEMALE;17.42561800000000;13.62843200000000;21.58390000000000
1991;Georgia;TOTAL;14.06270600000000;10.68930800000000;17.89732000000000
1992;Armenia;FEMALE;17.83386000000000;14.32234000000000;21.74328900000000
1992;Azerbaijan;FEMALE;18.04205200000000;14.38759600000000;22.17651200000000
1992;Georgia;FEMALE;17.09910000000000;12.17879300000000;22.84730800000000
1992;Armenia;TOTAL;12.45610600000000;10.19453500000000;14.97382500000000
1992;Azerbaijan;TOTAL;12.74707900000000;10.37061100000000;15.37283500000000
1992;Georgia;MALE;11.02796000000000;6.99839140000000;16.00135400000000
1992;Armenia;MALE;5.95605860000000;3.58397360000000;8.98768450000000
1992;Azerbaijan;MALE;5.92046080000000;3.78578980000000;8.66693110000000
1992;Georgia;TOTAL;14.49135800000000;11.18604800000000;18.26870700000000
1993;Azerbaijan;TOTAL;13.10093700000000;10.83810000000000;15.62618600000000
1993;Georgia;FEMALE;17.62220100000000;12.82925200000000;23.24052200000000
1993;Armenia;TOTAL;12.79141900000000;10.63090000000000;15.14897500000000
1993;Azerbaijan;FEMALE;18.55979600000000;15.09728300000000;22.46447400000000
1993;Georgia;MALE;11.36171800000000;7.39875210000000;16.26926100000000
1993;Armenia;MALE;6.13105740000000;3.79847140000000;9.09470690000000
1993;Armenia;FEMALE;18.24674800000000;14.89444500000000;21.89078200000000
1993;Azerbaijan;MALE;6.04944970000000;3.95760160000000;8.70922880000000
1993;Georgia;TOTAL;14.93768700000000;11.68037700000000;18.62359000000000
1994;Armenia;TOTAL;13.13187300000000;11.06510500000000;15.42276000000000
1994;Azerbaijan;TOTAL;13.43966300000000;11.27790400000000;15.85951900000000
1994;Georgia;MALE;11.71622600000000;7.76958990000000;16.53675000000000
1994;Azerbaijan;FEMALE;19.09003100000000;15.75389100000000;22.84875100000000
1994;Georgia;FEMALE;18.16251400000000;13.43434600000000;23.72311200000000
1994;Armenia;MALE;6.31701280000000;4.00395620000000;9.23492680000000
1994;Georgia;TOTAL;15.40279200000000;12.21395800000000;19.01835400000000
1994;Azerbaijan;MALE;6.18889970000000;4.12425180000000;8.71802340000000
1994;Armenia;FEMALE;18.66486100000000;15.50434200000000;22.10418000000000
1995;Armenia;TOTAL;13.47645500000000;11.47001200000000;15.67447600000000
1995;Azerbaijan;TOTAL;13.76577800000000;11.69922900000000;16.06224800000000
1995;Azerbaijan;FEMALE;19.63387400000000;16.42790300000000;23.18453500000000
1995;Georgia;TOTAL;15.88847800000000;12.74028400000000;19.43849600000000
1995;Georgia;MALE;12.09466200000000;8.18010120000000;16.78654800000000
1995;Georgia;FEMALE;18.72105700000000;14.12611800000000;24.14203400000000
1995;Armenia;MALE;6.51644170000000;4.23030520000000;9.38830450000000
1995;Armenia;FEMALE;19.08715700000000;16.11640600000000;22.35492500000000
1995;Azerbaijan;MALE;6.34034800000000;4.30639570000000;8.79541930000000
1996;Armenia;MALE;6.72970340000000;4.43915840000000;9.54573750000000
1996;Azerbaijan;FEMALE;20.18965300000000;17.04373400000000;23.63215800000000
1996;Georgia;MALE;12.49866900000000;8.59568790000000;17.14830000000000
1996;Georgia;TOTAL;16.39553200000000;13.27849000000000;19.81553900000000
1996;Georgia;FEMALE;19.29665200000000;14.79513800000000;24.55209500000000
1996;Armenia;TOTAL;13.82440900000000;11.88304000000000;15.91637100000000
1996;Azerbaijan;MALE;6.50332870000000;4.49739020000000;8.90002030000000
1996;Azerbaijan;TOTAL;14.10151300000000;12.12756800000000;16.28359000000000
1996;Armenia;FEMALE;19.51186200000000;16.68068300000000;22.56546200000000
1997;Azerbaijan;TOTAL;14.44662700000000;12.52654300000000;16.51771700000000
1997;Georgia;TOTAL;16.92666900000000;13.83446500000000;20.28020800000000
1997;Azerbaijan;MALE;6.67858650000000;4.66176870000000;9.01955290000000
1997;Azerbaijan;FEMALE;20.76039500000000;17.72286000000000;24.05989500000000
1997;Georgia;FEMALE;19.89375200000000;15.46933400000000;24.95008100000000
1997;Georgia;MALE;12.93170900000000;9.06849650000000;17.51764300000000
1997;Armenia;TOTAL;14.17959500000000;12.27773400000000;16.19464200000000
1997;Armenia;MALE;6.95814040000000;4.68479880000000;9.76343450000000
